gismu,標準,タグ,内容語,キーワード,原文,lo go'i,lo se go'i,lo te go'i,lo ve go'i,lo xe go'i,la go'i,rafsi,rafsi2,語法,使用例,参照,Tips,ロジバンたんのメモ,覚え方,上位概念,PS分類,@1型,@2型,@3型,@4型,@5型
tsali,TRUE,,@1は@2《属性》に関して@3〈観点〉で強い,強い,@1 is strong/powerful/[tough] in property/quality @2 (ka) by standard @3.,,,,,,,-tsa-,,,,,,,,,,,,,,
tsani,TRUE,,@1は@2〈所〉の空［天空］である,空、天空,@1 is an expanse of sky/the heavens at place @2; [celestial].,,,,,,,-tan-,,,,,,,,,,,,,,
tsapi,TRUE,,@1は@2《属性》の調味料［香辛料、薬味、味付、スパイス］である,調味料、香辛料、薬味、味付、スパイス,@1 is a seasoning/condiment/spice causing flavor/effect @2 (event/property).,,,,,,,,,「カラシ」「ケチャップ」「コショウ」など。 ,,,,,,,,,,,,
tsiju,TRUE,,@1は@2〈有機体〉の@3〈子〉になる種［種子、胞子、芽胞、生殖細胞］である,種、種子、胞子、芽胞、生殖細胞,@1(s) is/are (a) seed(s)/spore(s) [body-part] of organism @2 for producing offspring @3.,,,,,,,-tsi-,,,,,,,,,,,,,,
tsina,TRUE,,@1は@2〈所〉@3〈支持対象〉@4〈素材〉の壇［ステージ］である,壇、ステージ,"@1 is a stage/platform/dais/[scaffold] at/in @2 supporting @3, made of material @4.",,,,,,,-sin-,,x3は物体だけでなく事／イベントなども。 ,,,,,,,,,,,,
tsuku,FALSE,,@1arrives at@2via route x/3,,@1 arrives at @2 via route @3,,,,,,,,,"See {cliva}, {klama}, {tolyli'a}. Synonymous with {darca}.",,,,,,,,,,,,
tubnu,TRUE,,@1は@2〈素材〉@3〈内容〉の管［筒、パイプ、シリンダー、チューブ］である,管、筒、パイプ、シリンダー、チューブ,"@1 is a length of tubing/pipe/hollow cylinder [shape/form] of material @2, hollow of material @3.",,,,,,,-tu'u-,,{slanu} と違い、円柱形でなくても良く、外周@2と内部@3の素材の違いを表現できる。「スリーブ」「ホース」も。 ,,,,,,,,,,,,
tubra,FALSE,,@1is a limb/appendage/extremity of body/entity@2used for purpose x/3,,@1 is a limb/appendage/extremity of body/entity @2 used for purpose @3,,,,,,,,,"Any extremity used for manipulation, support, mobility, flight/swimming, etc.  Usually, it can move and be controlled actively by x2 (if conscious). The term may or may not be applicable to heads, tails, mandibles, antennae, or plant parts, but occasionally may.  It is more general than {tuple} or {birka}.  It is also useful for talking about limbs which are rather anatomically different from human limbs: fish fins or tails, spider legs, snail feet (possibly), elephant trunks, etc. In winged insects/entities (including machinary), it can refer to wings as well as legs (especially in birds as opposed to insects, but even then as well); care must be taken if one wishes to be more clear. ""Tentacle"": {tu'urtubra}. See also {torso}, {xadji}.",,,,,,,,,,,,
tugni,TRUE,,@1〈者〉は@2〈者・観点・側〉にたいし@3《命題》@4〈題目〉について賛成［賛同、同意］する,賛成、賛同、同意,@1 [person] agrees with person(s)/position/side @2 that @3 (du'u) is true about matter @4.,,,,,,,-tug-   ,-tu'i-,,,,,,,,,,,,,
tujli,TRUE,生物、植物,@1は@2〈種類〉のチューリップ属の植物である,チューリップ,@1 is a tulip (defined by flower shape) of species/strain @2.,,,,,,,-tuj-,,,,,,,,2,DD,もの,もの,-,-,-
tumla,TRUE,,@1は@2（位置）における陸［大地の広がり］である,陸,@1 is a parcel/expanse of land at location @2; @1 is terrain.,,,,,,,-tum-   ,-tu'a-,「大陸」も。 ,,,,,,,,,,,,
tunba,TRUE,,@1は@2の、@3（養育関係／血縁関係／類似関係）によって結ばれている兄弟姉妹／親戚／親族,,@1 is a sibling of @2 by bond/tie/standard/parent(s) @3.,,,,,,,-tub-,,x3は、養育者 (rirni) が同じ、あるいは生物学的親 (se panzi) が同じなどの関係。生物学的な兄弟姉妹とは限らない。 ,,,,,,,,,,,,
tunka,TRUE,元素,@1は銅［Cu］,銅、Cu,"@1 is made of/contains/is a quantity of copper (Cu); [metaphor: reddish, electrical conductor].",,,,,,,-tuk-,,,,,,,,"ratni, jinme",D,もの,-,-,-,-
tunlo,TRUE,,@1は@2を飲み込む［飲み下す］,飲み込む,@1 gulps/swallows.,,,,,,,-tul-   ,-tu'o-,比喩的に（概念／意見を）「取り入れる」「消化する」も ,,,,,,zukte,DD,もの,もの,-,-,-
tunta,TRUE,,@1〈物〉は@2を刺す［突く、突き刺す、つつく］； @2は @1に刺される,刺す、突く、突き刺す、つつく,"@1 (object, usually pointed) pokes/jabs/stabs/prods @2 (experiencer).",,,,,,,-tun-,,,,,,,,,,,,,,
tuple,TRUE,身体、部位,@1は@2〈本体〉の脚である,脚,@1 is a/the leg [body-part] of @2; [metaphor: supporting branch].,,,,,,,-tup-   ,-tu'e-,股間から足首までの腿と脛の部分を表します。足首から下の部分なら{jamfu}で表します。,,,,,,,DD,もの,もの,-,-,-
turko,FALSE,,@1reflects Turkish culture/nationality/language in aspect x/2,,@1 reflects Turkish culture/nationality/language in aspect @2,,,,,,,,,,,,,,,,,,,,,
turni,TRUE,,@1は@2〈民衆・領土・物〉を統治［支配］する、治める；  @1は知事［支配者、君主］である,治める、統治、支配,@1 governs/rules/is ruler/governor/sovereign/reigns over people/territory/domain/subjects @2.,知事、支配者、君主,,,,,,-tru-,,,,,,,,,,,,,,
tutci,TRUE,,@1は@2〈目的〉のための道具［用具、器具］である,道具、用具、器具,@1 is a tool/utensil/resource/instrument/implement used for doing @2; [form determines function].,,,,,,,-tci-,,「楽器」「教材」も。 ,,,,,,,,,,,,
tutle,FALSE,,"@1is/reflects/pertains to race/societal(/social) classification@2culture/status in aspect x/3, of subtype/particular subcategory/group/tribe x/4, by definition/standard/societal classification system x/5",,"@1 is/reflects/pertains to race/societal(/social) classification @2 culture/status in aspect @3, of subtype/particular subcategory/group/tribe @4, by definition/standard/societal classification system @5",,,,,,,,,,,,,,,,,,,,,
tutra,TRUE,,@1は@2に属する［管轄されている］領域［領土、空間］である,領域、領土、空間,@1 is territory/domain/space of/belonging to/controlled by @2.,,,,,,,-tut-,,,,,,,,,,,,,,
vacri,TRUE,,@1は@2〈領域・惑星〉@3〈成分〉の空気［大気］である,空気、大気,"@1 is a quantity of air/normally-gaseous atmosphere of planet @2, of composition including @3.",,,,,,,-var-,,,,,,,,,,,,,,
vajni,TRUE,,@1《もの・こと》は@2《もの・こと》にとって@3〈属性・理由〉に関して重要［大事］である,重要、大事,@1 (object/event) is important/significant to @2 (person/event) in aspect/for reason @3 (nu/ka).,,,,,,,-vaj-   ,-vai-,,,,,,,,,,,,,
valsi,TRUE,,@1は@2〈意味・効力〉を有する@3〈言語〉の言葉［語彙］,言葉、語彙,@1 is a word meaning/causing @2 in language @3; (adjective: @1 is lexical/verbal).,,,,,,,-val-   ,-vla-,x2 は辞書上の意味だけでなく心理上の効力なども。 ,,,,,,,,,,,,
vamji,TRUE,,@1《数量・性質》は@2《もの・こと》の@3〈観点〉@4〈用途・査定〉における価値である；@2は@3にとって @1の値打ちがある,価値,@1 (ni) is the equivalent value/worth of @2 [item(s) of value] to @3 for use/appreciation @4.,,,,,,,-vam-   ,-va'i-,,,,,,,,,,,,,
vamtu,TRUE,,@1は@2を吐く［嘔吐する］,吐く、嘔吐,@1 vomits/regurgitates @2; @1 throws @2 up; [violent] digestive expulsion.,,,,,,,-vat-,,,,,,,,zukte,DD,もの,もの,-,-,-
vanbi,TRUE,,@1《個・群》は@2の環境［周囲、文脈、雰囲気］である,環境、周囲、文脈、雰囲気,@1 (ind./mass) is part of an environment/surroundings/context/ambience of @2.,,,,,,,-vab-,,,,,,,,,,,,,,
vanci,TRUE,,@1は@2〈日〉@3〈場所〉の夕方［夕暮れ、晩］である,夕方、夕暮れ、晩,@1 is an evening [from end-of-work until sleep typical for locale] of day @2 at location @3.,,,,,,,-vac-,,一般的な仕事の終わりから就寝までの時間帯。 ,,,,,,,,,,,,
vanju,TRUE,,@1は@2〈果物成分〉のワイン［葡萄酒］である,ワイン、葡萄酒,@1 is made of/contains/is a quantity of wine from fruit/grapes @2.,,,,,,,-van-,,,,,,,,,,,,,,
vasru,TRUE,,@1は@2を内に含む［包む］；@1は@2の容器である,含む、包む,@1 contains/holds/encloses/includes contents @2 within; @1 is a vessel containing @2.,,,,,,,-vas-   ,-vau-,「nenri」と違い、 x2 はx1をはみ出ていてもいい。 ,,,,,,zukte,DD,もの,もの,-,-,-
vasxu,TRUE,,@1は@2〈気体〉を吸う［吐く］,吸う、吐く,@1 breathes/respires @2 [gas].,,,,,,,-vax-   ,-va'u-,,,,,,,,,,,,,
vecnu,TRUE,,@1 〈売り手〉は@2〈品物やサービス〉を@3〈買い手〉に@4の額［費用、出費］で売る,売る、買う,@1 [seller] sells/vends @2 [goods/service/commodity] to buyer @3 for amount/cost/expense @4.,,,,,,,-ven-   ,-ve'u-,"x1 は売り手／販売員。 x3 は x2 （品）を x1 から買う購入者（ terve'u は「買う」になる）。 x4 は x2 （品）を売る際の x3 から受け取る額／が支払う額（ velve'u は「費用である」になる）。 売りに出す（ fitselve'u, selvenfriti ）。 x2 は特定の「品物」、あるいは群（集まり）としての「品物」、あるいは「～という事」、あるいは「～という性質」。  @1として「所有権を手放す者」、@2として「所有権が移る商品」という sumti を引き出す（意味論的により厳密に言うなら {posyve'u}, {posyselve'u}）。 費用と価格の違いについては {jdima} の注を参照。 ",,,,,,,,,,,,
vedli,FALSE,,@1remembers experience@2(li'i),,@1 remembers experience @2 (li'i),,,,,,,,,"@1lifri@2is implied. See also {morji}, {lifri}. Proposed short rafsi -ve'i-.",,,,,,,,,,,,
venfu,TRUE,,@1は@2〈者〉にたいし@3《こと》に関して@4《行動》で復讐［報復、あだ討ち、リベンジ］する,復讐、報復、あだ討ち、リベンジ,@1 takes revenge on/retaliates against @2 (person) for wrong @3 (nu) with vengeance @4 (nu).,,,,,,,-vef-,,,,,,,,,,,,,,
vensa,TRUE,季節,@1は@2〈年〉@3〈所〉の春季である,春、春季,@1 is spring/springtime [warming season] of year @2 at location @3; (adjective:) @1 is vernal.,春、春季,,,,,,-ves-,,,,,,,「久しぶり」；桜の舞い散る中、僕は目を閉じていると、懐かしい声がした。それが耳を蹂躙していくのを感じた。校内の桜の木々の下で花を見上げる僕の隣へ彼女が座った。；僕は返事をしなかった。彼女も何も言わなかった。；何年ぶりだろうか、まさか同じ高校に入学することになったなんて。；【春】の受験のために猛【勉さ】、なんて言ってひたすら塾へ行って、クラスメートには笑われたけど……でも、今はそんなことどうでもいい。とにかく同じ高校に入れて、僕は、嬉しかった。,citsi,DND,もの,数,もの,-,-
vente,FALSE,,@1is the ventral part of body x/2,,@1 is the ventral part of body @2,,,,,,,,,"Opposite of dorsum. Not necessarily should be the frontal part of the body. See also {bekpi}, {betfu}, {flira}",,,,,,,,,,,,
vepre,FALSE,,@1is a non-binary-gendered/intersex/asexual/nongendered/transgendered and immature/young person of age@2immature by standard x/3,,@1 is a non-binary-gendered/intersex/asexual/nongendered/transgendered and immature/young person of age @2 immature by standard @3,,,,,,,,,"Word dispreferred in metaphor/example as sexist (use instead {verba}). See also: {nixli}, {nanla}, {verba}, {bersa}, {tixnu}, {nunmu}.",,,,,,,,,,,,
verba,TRUE,,@1は@2〈年齢〉の@3〈観点〉での子供である,子供,"@1 is a child/kid/juvenile [a young person] of age @2, immature by standard @3.",,,,,,,-ver-   ,-ve'a-,人間とは限らない。 ,,,,,,,,,,,,
vibna,TRUE,身体、部位,@1は@2〈本体〉の膣である,膣,@1 is a/the vagina [body-part] of @2.,,,,,,,-vib-,,,,,,,,,DD,もの,もの,-,-,-
vidni,TRUE,,@1は画面［映像モニター、スクリーン］である,画面、スクリーン,@1 is a video monitor/CRT/screen [machine] serving function @2.,,,,,,,,,,,,,,,,,,,,,
vidru,TRUE,生物,@1は@2〈特性〉の@3〈対象〉に寄生しうる病原体［ウィルス］である,病原体、ウイルス,@1 is a virus of species/breed/defining property @2 capable of infecting [at] @3.,,,,,,,-vir-,,,,,,,,,,,,,,
vifne,TRUE,,@1は新鮮［新品］状態である,新鮮、新品,(adjective:) @1 is fresh/unspoiled.,,,,,,,-vif-,,,,,,,,,,,,,,
vikmi,TRUE,,@1は@2〈対象〉を@3〈起源〉から@4〈経路〉で廃棄［排出、排泄］する,廃棄、排出、排泄,@1 [body] excretes waste @2 from source @3 via means/route @4.,,,,,,,-vim-   ,-vi'i-,,,,,,,,,,,,,
viknu,TRUE,,@1は@2〈条件〉で粘性がある［ねばねばしている］,粘る、粘性、ねばねば,@1 is thick/viscous under conditions @2.,,,,,,,-vik-,,,,,,,,,,,,,,
vimcu,TRUE,,@1は@2を@3から@4だけ残して除去［控除］する、差し引く,除去、控除、差し引く,@1 removes/subtracts/deducts/takes away @2 from @3 with/leaving result/remnant/remainder @4.,,,,,,,-vic-   ,-vi'u-,,,,,,,,,,,,,
vindu,TRUE,,@1は@2にとって毒で［中毒性が］ある,毒、中毒性,@1 is poisonous/venomous/toxic/a toxin to @2.,,,,,,,-vid-,,,,,,,,,,,,,,
vinji,TRUE,,@1は@2〈荷・乗客〉@3〈原動力〉の飛行機［航空機、飛行船］である,飛行機、航空機、飛行船,"@1 is an airplane/aircraft [flying vehicle] for carrying passengers/cargo @2, propelled by @3.",,,,,,,-vij-,,x3はプロペラやジェットなど。 ,,,,,,,,,,,,
vinta,FALSE,,@1(user/consumer) is an addict of/is addicted to substance/entity/experience@2by standard x/3,,@1 (user/consumer) is an addict of/is addicted to substance/entity/experience @2 by standard @3,,,,,,,,,"Implies physiological need; the nature of x2 does not matter, only the response of x1. Quite arguably, anything other than an experience filling in x2 is sumti-raising. Is not necessarily bad; for example, one can be addicted to life, or to the consumption and processing of sugar.",,,,,,,,,,,,
vipsi,TRUE,,@1は@2《属性》に関して@3〈者〉の副官［補佐官、部下］；@3は@1の上司である,副官、補佐官、部下、上司,@1 is a deputy/vice/subordinate in aspect [or organization principle] @2 (ka) to principal @3.,,,,,,,-vip-,,x2 は企業組織なども。 ,,,,,,,,,,,,
virnu,TRUE,,@1は@2《こと》に関して@3〈基準〉で勇敢［勇ましい、雄々しい、英雄的である］,勇ましい、雄々しい、勇敢、英雄,@1 is brave/valiant/courageous in activity @2 (event) by standard @3.,,,,,,,-vri-,,,,,,,,,,,,,,
viska,TRUE,,@1は@2を@3〈状態条件〉のもと視覚する；@1には@2が見える；@1には視覚能力［光学的感知能力］がある,視覚、見る,@1 sees/views/perceives visually @2 under conditions @3.,,,,,,,-vis-   ,-vi'a-,x3は、空間の灯りや背景など、視覚できる対象を左右する条件。x1は光や色を感知するカメラなども。 ,,,,,,,,,,,,
vitci,TRUE,,@1は@2《属性・動作・状態》に関して不定［不規則的、断続的］である,不定、不規則、断続的,@1 is irregular/occasional/intermittent in property/action/aspect @2.,,,,,,,-vit-,,,,,,,,,,,,,,
vitke,TRUE,,@1は@2〈者〉@3〈所・こと〉の客；@1は@2@3を訪れる,訪れる,@1 is a guest/visitor of @2 at place/event @3; @1 visits @2/@3.,客,,,,,,-vi'e-,,,,,,,,,,,,,,
vitno,TRUE,,@1は@2《属性》において@3の観点で永続的［恒久、不滅］である,永続的、恒久、不滅,@1 is permanent/lasting/[eternal] in property @2 (ka) by standard @3 [time-span/expectant one].,,,,,,,-vi'o-,,,,,,,,,,,,,,
vlagi,TRUE,身体、部位,@1は@2〈本体〉の外陰部である,外陰部,@1 is a/the vulva [body-part] of @2.,,,,,,,-lag-,,,,,,,,,DD,もの,もの,-,-,-
vlile,TRUE,,@1《こと・行為》は暴力［暴力的］である,暴力,@1 is an event/state/act of violence.,,,,,,,-vil-,,,,,,,,,,,,,,
vlina,TRUE,,@1は@2《命題》@3《命題》の論理的選言（離接）［選言的判断］である,選言,"@1 is a logical alternation/disjunction, stating that @2 (du'u) and/or @3 (du'u) is/are true.",,,,,,,,,,,,,,,,,,,,,
